x,y,z,w0,w1,w2,w3
0,0,0,0,0,0,1.0
14.24721187,10.44629954,0,0,0,0,1.0
30.91540439,22.57332342,0,0,0,-0.2519154129,0.9677492572
32.47842322,21.9511287,0,0,0,0.1915498744,0.981482881
32.5254728,21.92989126,0,0,0,0.1954977402,0.9807041519
32.73653339,21.83149245,0,0,0,0.1976271115,0.9802772693
32.73271504,21.83260978,0,0,0,0.1976087201,0.9802809769
32.8346383,21.78309009,0,0,0,0.1951213411,0.9807791098
32.83461107,21.78285843,0,0,0,0.1951696016,0.9807695074
32.90474069,21.51671556,0,0,0,0.2758829184,0.9611912481
32.90438107,21.51702903,0,0,0,0.2756984556,0.9612441738
33.16822366,21.3160915,0,0,0,0.3104214262,0.9505990417
33.17248128,21.31271659,0,0,0,0.3080542017,0.951368808
33.20616126,21.28317501,0,0,0,0.3122036881,0.9500151879
33.1876627,20.98701754,0,0,0,0.4206320683,0.9072313173
33.33104005,20.7819386,0,0,0,0.445471129,0.8952963047
33.35649513,20.74277742,0,0,0,0.4547714907,0.8906081581
33.41036097,20.65718137,0,0,0,0.4665343475,0.8845030823
33.41373614,20.65215308,0,0,0,0.4638087721,0.8859353379
33.25382014,20.21162256,0,0,0,0.5957180576,0.8031936229
33.26333339,20.16534442,0,0,0,0.5998828836,0.8000878239
33.27791804,20.08722409,0,0,0,0.6200754343,0.7845421951
33.28114072,20.07631336,0,0,0,0.6157779589,0.7879197328
33.28722019,20.03246483,0,0,0,0.6210852983,0.7837429759
33.31208177,19.82942759,0,0,0,0.6348331767,0.7726492334
33.0162124,19.75746967,0,0,0,0.7270661205,0.6865674449
33.01009158,19.71453603,0,0,0,0.7345373486,0.67856826
32.97753431,19.51602968,0,0,0,0.7518418388,0.6593434989
32.95759229,19.41236193,0,0,0,0.7608851523,0.6488865732
32.54843392,19.19880618,0,0,0,0.8539130051,0.5204157758
32.54436477,19.18971081,0,0,0,0.8516575161,0.5240987267
31.09571141,18.11502284,0,0,0,0.9322184272,0.3618961232
18.45976211,7.854544,0,0,0,0.9376105147,0.347687392
16.93447571,6.65766417,0,0,0,0.9454327877,0.325817194
3.392187986,-2.066452562,0,0,0,0.9432324571,0.3321333043
